age,layer,probability,rank
22.894419441944194,basal layers,0.5654392420187149,1
22.894419441944194,basal layers,0.5654392420187149,1
22.894419441944194,basal layers,0.5654392420187149,1
22.894419441944194,basal layers,0.5654392420187149,1
22.894665466546652,Haycock,0.031017772006687063,4
22.894665466546652,pseudotachylyte,0.9733286476799541,3
22.894665466546652,andesite,0.8716914793725825,2
22.894665466546652,andesite,0.8716914793725825,2
22.894665466546652,basal layers,0.5657369442289425,1
22.894665466546652,basal layers,0.5657369442289425,1
22.894665466546652,basal layers,0.5657369442289425,1
22.894665466546652,basal layers,0.5657369442289425,1
22.894911491149113,Haycock,0.03009429565877751,4
22.894911491149113,pseudotachylyte,0.9734642884024509,3
22.894911491149113,andesite,0.872224866054457,2
22.894911491149113,andesite,0.872224866054457,2
22.894911491149113,basal layers,0.5660300611981276,1
22.894911491149113,basal layers,0.5660300611981276,1
22.894911491149113,basal layers,0.5660300611981276,1
22.894911491149113,basal layers,0.5660300611981276,1
22.895157515751574,Haycock,0.02919449045670575,4
22.895157515751574,pseudotachylyte,0.9735995974614822,3
22.895157515751574,andesite,0.87275738734063,2
22.895157515751574,andesite,0.87275738734063,2
22.895157515751574,basal layers,0.5663185856382931,1
22.895157515751574,basal layers,0.5663185856382931,1
22.895157515751574,basal layers,0.5663185856382931,1
22.895157515751574,basal layers,0.5663185856382931,1
22.895403540354035,Haycock,0.028317880751603262,4
22.895403540354035,pseudotachylyte,0.9737345747134987,3
22.895403540354035,andesite,0.8732890412480007,2
22.895403540354035,andesite,0.8732890412480007,2
22.895403540354035,basal layers,0.5666025103731768,1
22.895403540354035,basal layers,0.5666025103731768,1
22.895403540354035,basal layers,0.5666025103731768,1
22.895403540354035,basal layers,0.5666025103731768,1
22.895649564956493,Haycock,0.027463996172102385,4
22.895649564956493,pseudotachylyte,0.9738692200152884,3
22.895649564956493,andesite,0.8738198257958061,2
22.895649564956493,andesite,0.8738198257958061,2
22.895649564956493,basal layers,0.5668818283385205,1
22.895649564956493,basal layers,0.5668818283385205,1
22.895649564956493,basal layers,0.5668818283385205,1
22.895649564956493,basal layers,0.5668818283385205,1
22.895895589558954,Haycock,0.026632371708454273,4
22.895895589558954,pseudotachylyte,0.974003533223983,3
22.895895589558954,andesite,0.8743497390056628,2
